id,traditional,pinyin,english,topic,topic_english,part_of_speech,level,simplified,relative_freq_pct
37,上午,"shàngwǔ ",morning,個人資料,Personal Information,(N),1,上午,0.0151989
38,中午,"zhōngwǔ ",noon,個人資料,Personal Information,(N),1,中午,0.00715364
39,下午,"xiàwǔ ",afternoon,個人資料,Personal Information,(N),1,下午,0.0225793
40,晚上(ㄕㄤ˙),"wǎnshang ",Evening(ㄕㄤ˙),個人資料,Personal Information,(N),1,晚上(ㄕㄤ˙),
41,星期,xīngqí,Week,個人資料,Personal Information,(N),1,星期,0.00401385
42,星期天/星期日,"xīngqítiān/xīngqírì ",Sunday/Sunday,個人資料,Personal Information,(N),1,星期天/星期日,
43,週末/周末,"zhōumò ",weekend/weekend,個人資料,Personal Information,(N),1,週末/周末,
44,天,"tiān ",day; sky,個人資料,Personal Information,(N),1,天,0.108652
45,"天 ","tiān ",sky,個人資料,Personal Information,(M),1,"天 ",
46,昨天,"zuótiān ",yesterday,個人資料,Personal Information,(N),1,昨天,0.0275501
47,今天,"jīntiān ",today,個人資料,Personal Information,(N),1,今天,0.0657431
48,明天,"míngtiān ",tomorrow,個人資料,Personal Information,(N),1,明天,0.0206576
49,現在,"xiànzài ",now,個人資料,Personal Information,(N),1,现在,0.0869188
50,夏天,"xiàtiān ",summer,個人資料,Personal Information,(N),1,夏天,0.00340003
51,冬天,"dōngtiān ",winter,個人資料,Personal Information,(N),1,冬天,0.00602382
52,秋天,"qiūtiān ",autumn,個人資料,Personal Information,(N),1,秋天,0.00119996
53,春天,"chūntiān ",spring,個人資料,Personal Information,(N),1,春天,0.00254719
54,大家,"dàjiā ",Everyone,個人資料,Personal Information,(N),1,大家,0.0591106
55,歲,"suì ",age,個人資料,Personal Information,(M),1,岁,0.0436325
56,年輕,"niánqīng ",young,個人資料,Personal Information,(VS),1,年轻,0.00959134
57,老,"lǎo ",old,個人資料,Personal Information,(VS),1,老,0.035679
58,男,"nán ",male,個人資料,Personal Information,(N),1,男,0.0204345
59,男生,"nánshēng ",boys,個人資料,Personal Information,(N),1,男生,0.00379978
60,女,"nǚ ",female,個人資料,Personal Information,(N),1,女,0.0315818
61,女生,"nǚshēng ",girl,個人資料,Personal Information,(N),1,女生,0.00588855
62,先生,"xiānshēng ",gentlemen,個人資料,Personal Information,(N),1,先生,0.0119393
63,太太,"tàitai ",Mrs,個人資料,Personal Information,(N),1,太太,0.00139761
64,小姐,"xiǎojiě ",Miss,個人資料,Personal Information,(N),1,小姐,0.00456183
65,小孩,xiǎohái,Child,個人資料,Personal Information,(N),1,小孩,0.00458685
66,家,"jiā ",home; family,個人資料,Personal Information,(N),1,家,0.0954457
67,家人,"jiārén ",family,個人資料,Personal Information,(N),1,家人,0.00619219
68,爸爸,bàba,dad,個人資料,Personal Information,(N),1,爸爸,0.00817545
69,媽媽,māma,Mother,個人資料,Personal Information,(N),1,妈妈,0.0145176
70,孩子,"háizi ",child,個人資料,Personal Information,(N),1,孩子,0.0354864
71,兒子,érzǐ,son,個人資料,Personal Information,(N),1,儿子,0.0126912
72,女兒,"nǚér ",daughter,個人資料,Personal Information,(N),1,女儿,0.00974814
73,弟弟,dìdi,younger brother,個人資料,Personal Information,(N),1,弟弟,0.0029843
74,哥哥,gēge,elder brother,個人資料,Personal Information,(N),1,哥哥,0.00508638
75,妹妹,"mèimei ",younger sister,個人資料,Personal Information,(N),1,妹妹,0.00379627
76,姊姊/姐姐,jiějie,sister/sister,個人資料,Personal Information,(N),1,姊姊/姐姐,
77,好,"hǎo ",good,個人資料,Personal Information,(Adv),1,好,0.220556
78,真,"zhēn ",really; true,個人資料,Personal Information,(Adv),1,真,0.0850822
79,很,"hěn ",very,個人資料,Personal Information,(Adv),1,很,0.154264
80,太,"tài ",too,個人資料,Personal Information,(Adv),1,太,0.0820605
81,非常,"fēicháng ",Very,個人資料,Personal Information,(Adv),1,非常,0.0427881
82,笑,"xiào ",laugh,個人資料,Personal Information,(VA),1,笑,0.039047
83,高興,"gāoxìng ",Happy,個人資料,Personal Information,(VS),1,高兴,0.00825694
84,快樂,"kuàilè ",hapiness,個人資料,Personal Information,(VS),1,快乐,0.0182959
85,緊張,"jǐnzhāng ",nervous,個人資料,Personal Information,(VS),1,紧张,0.00891828
86,愛,"ài ",love; like,個人資料,Personal Information,(VS),1,爱,0.0731463
87,喜歡,"xǐhuān ",like,個人資料,Personal Information,(VS),1,喜欢,0.0509308
88,覺得,juéde,feel,個人資料,Personal Information,(VS),1,觉得,0.042271
89,漂亮(ㄌㄧㄤ˙),"piàoliang ",Beautiful(ㄌㄧㄤ˙),個人資料,Personal Information,(VS),1,漂亮(ㄌㄧㄤ˙),
90,好看,"hǎokàn ",nice,個人資料,Personal Information,(VS),1,好看,0.00751206
91,可愛,"kěài ",cute,個人資料,Personal Information,(VS),1,可爱,0.0128327
92,胖,"pàng ",fat,個人資料,Personal Information,(VS),1,胖,0.0045968
93,高,"gāo ",high,個人資料,Personal Information,(VS),1,高,0.0705825
94,矮,"ǎi ",short,個人資料,Personal Information,(VS),1,矮,0.00251553
95,瘦,"shòu ",thin,個人資料,Personal Information,(VS),1,瘦,0.00647908
96,第,"dì ","numerical ordering (i.e. first, second)",個人資料,Personal Information,(Det),1,第,10.633
97,零,"líng ",zero,個人資料,Personal Information,(Det),1,零,
98,一,"yī ",one,個人資料,Personal Information,(Det),1,一,
99,二,"èr ",two,個人資料,Personal Information,(Det),1,二,
100,兩,"liǎng ",two,個人資料,Personal Information,(Det),1,两,0.173911
101,三,"sān ",three,個人資料,Personal Information,(Det),1,三,
102,四,"sì ",Four,個人資料,Personal Information,(Det),1,四,
103,五,"wǔ ",five,個人資料,Personal Information,(Det),1,五,
104,六,"liù ",six,個人資料,Personal Information,(Det),1,六,
105,七,"qī ",seven,個人資料,Personal Information,(Det),1,七,
106,八,"bā ",eight,個人資料,Personal Information,(Det),1,八,
107,九,"jiǔ ",Nine,個人資料,Personal Information,(Det),1,九,
108,十,"shí ",ten,個人資料,Personal Information,(Det),1,十,
109,百,"bǎi ",Hundred,個人資料,Personal Information,(Det),1,百,
110,千,"qiān ",thousand,個人資料,Personal Information,(Det),1,千,
111,萬,"wàn ",Ten thousand,個人資料,Personal Information,(Det),1,万,
112,半,"bàn ",Half,個人資料,Personal Information,(Det),1,半,0.0151582
113,個,"gè ",(general measure word),個人資料,Personal Information,(M),1,个,0.466621
114,我,"wǒ ",I,個人資料,Personal Information,(N),1,我,0.899633
115,你/妳,"nǐ ",you/you,個人資料,Personal Information,(N),1,你/妳,
116,您,"nín ",you,個人資料,Personal Information,(N),1,您,0.0242203
117,他/她,tā,he/she,個人資料,Personal Information,(N),1,他/她,
118,我們,"wǒmen ",us,個人資料,Personal Information,(N),1,我们,0.221933
119,你們/妳們,"nǐmen ",you/you,個人資料,Personal Information,(N),1,你们/妳们,
120,他們/她們,tāmen,they/them,個人資料,Personal Information,(N),1,他们/她们,
121,在,"zài ",at / in / on,個人資料,Personal Information,(Prep),1,在,1.04984
122,"在 ","zài ",exist,個人資料,Personal Information,(Adv),1,"在 ",
124,是,"shì ",to be,個人資料,Personal Information,,1,是,0.909753
125,的,"de ",of,個人資料,Personal Information,(P),1,的,5.01022
126,誰,"shéi ",who,個人資料,Personal Information,(N),1,谁,0.0453993
127,醫院,"yīyuàn ",Hospital,工作,Work,(N),1,医院,0.0202542
128,辦公室,"bàngōngshì ",office,工作,Work,(N),1,办公室,0.00754437
129,工廠,"gōngchăng ",factory,工作,Work,(N),1,工厂,0.00438863
130,工人,"gōngrén ",Worker,工作,Work,(N),1,工人,0.00970026
131,老師,"lǎoshī ",teacher,工作,Work,(N),1,老师,0.0159206
132,醫生,"yīshēng ",doctor,工作,Work,(N),1,医生,0.00933997
133,護士,"hùshì ",Nurse,工作,Work,(N),1,护士,0.00184941
134,司機,"sījī ",driver,工作,Work,(N),1,司机,0.006959
135,老闆/老板,lǎobǎn,boss/boss,工作,Work,(N),1,老板/老板,
136,同事,"tóngshì  ",colleague,工作,Work,(N),1,同事,0.00448037
137,公司,"gōngsī ",company,工作,Work,(N),1,公司,0.0980591
138,買,"mǎi ",purchase,工作,Work,(VA),1,买,0.0423784
139,賣,"mài ",Sell,工作,Work,(VA),1,卖,0.0169583
140,電腦,"diànnǎo ",computer,工作,Work,(N),1,电脑,0.013685
141,工作,"gōngzuò ",Work,工作,Work,(N),1,工作,0.104622
142,上班,"shàngbān ",work,工作,Work,(VA),1,上班,0.00778223
143,準備,"zhǔnbèi ",Prepare,工作,Work,(VA),1,准备,0.0244687
144,忙,"máng ",busy,工作,Work,(VS),1,忙,0.0101522
145,學校,"xuéxiào ",School,教育,Education,(N),1,学校,0.0274054
146,小學,"xiǎoxué ",primary school,教育,Education,(N),1,小学,0.00531477
147,中學,"zhōngxué ",middle school,教育,Education,(N),1,中学,0.00377595
148,大學,"dàxué ",University,教育,Education,(N),1,大学,0.0138973
149,年級,"niánjí ",grade,教育,Education,(N),1,年级,0.000536972
150,學生,"xuéshēng ",student,教育,Education,(N),1,学生,0.0365742
151,上學,"shàngxué ",go to school,教育,Education,(VA),1,上学,0.00301196
152,上課,"shàngkè ",Attend class,教育,Education,(VA),1,上课,0.00373857
153,下課,"xiàkè ",After class,教育,Education,(VS),1,下课,0.000974947
154,作業,"zuòyè ",Operation,教育,Education,(N),1,作业,0.00484266
155,功課,"gōngkè ",homework,教育,Education,(N),1,功课,0.000630381
156,請假,"qǐngjià ",Ask for leave,教育,Education,(VA),1,请假,0.000709536
157,考試,"kǎoshì ",take an exam,教育,Education,(VA),1,考试,0.0118177
158,"考試 ","kǎoshì ",take an exam,教育,Education,(N),1,"考试 ",
159,圖書館,"túshūguǎn ",library,教育,Education,(N),1,图书馆,0.0023639
160,教室,"jiàoshì ",classroom,教育,Education,(N),1,教室,0.00206349
161,洗手間/廁所,xǐshǒujiān/cèsuǒ,Restroom/Toilet,教育,Education,(N),1,洗手间/厕所,
162,餐廳/飯館,cāntīng/ fànguǎn,Restaurant/restaurant,教育,Education,(N),1,餐厅/饭馆,
163,歷史,lìshĭ,history,教育,Education,(N),1,历史,0.0231055
164,數學,"shùxué ",math,教育,Education,(N),1,数学,0.00413562
165,語言,"yǔyán ",language,教育,Education,(N),1,语言,0.00801113
166,科學,"kēxué ",science,教育,Education,(N),1,科学,0.0168728
167,英文,"yīngwén ",English,教育,Education,(N),1,英文,0.00104398
168,華語/華文,"huáyǔ/huáwén ",Chinese/Chinese,教育,Education,(N),1,华语/华文,
169,黑板,"hēibǎn ",blackboard,教育,Education,(N),1,黑板,0.000363122
170,筆,"bǐ ",Pen,教育,Education,(N),1,笔,0.00854158
171,紙,"zhǐ ",Paper,教育,Education,(N),1,纸,0.00932837
172,課本,"kèběn ",textbook,教育,Education,(N),1,课本,0.00070781
173,本,"běn ",book,教育,Education,(M),1,本,0.0825689
174,字,"zì ",Character,教育,Education,(N),1,字,0.0180042
175,句子,"jùzi ",sentence,教育,Education,(N),1,句子,0.000770464
176,注意,"zhùyì ",Notice,教育,Education,(VS),1,注意,0.0198213
177,寫,"xiě ",Write,教育,Education,(VA),1,写,0.0262553
178,聽,"tīng ",listen,教育,Education,(VA),1,听,0.0346276
179,讀,"dú ",read,教育,Education,(VA),1,读,0.00982246
180,讀書,"dúshū ",read,教育,Education,(VA),1,读书,0.00390863
181,說,"shuō ",explain / say,教育,Education,(VA),1,说,0.281305
182,說話,"shuōhuà ",say,教育,Education,(VA),1,说话,0.00956751
183,學,"xué ",study,教育,Education,(VA),1,学,0.0236807
184,學習,"xuéxí ",study,教育,Education,(VA),1,学习,0.0295851
185,練習,"liànxí ",practise,教育,Education,(VA),1,练习,0.00250502
186,問,"wèn ",ask,教育,Education,(VA),1,问,0.0357978
187,問題,"wèntí ",problem; question,教育,Education,(N),1,问题,0.0973337
188,為什麼,"wèishénme ",Why,教育,Education,(Adv),1,为什么,0.0234814
189,回答,"huídá ",answer,教育,Education,(VA),1,回答,0.00922188
190,參加,"cānjiā ",join,教育,Education,(VA),1,参加,0.0359613
191,知道,"zhīdào ",Know,教育,Education,(VS),1,知道,0.0496833
192,懂,"dǒng ",Understand,教育,Education,(VS),1,懂,0.0149611
193,能,"néng ",can; be able to,教育,Education,(Adv),1,能,0.126985
194,會,"huì ",meeting,教育,Education,(VS),1,会,0.212582
195,可以,"kěyǐ ",can; may,教育,Education,(Adv),1,可以,0.137456
196,休息,"xiūxí ",rest,教育,Education,(VA),1,休息,0.00783029
197,有趣,"yǒuqù ",interesting,教育,Education,(VS),1,有趣,0.00257023
198,"決定 ","juédìng ",Decide,教育,Education,(N),1,"决定 ",
199,張,"zhāng ",open,教育,Education,(M),1,张,0.0327036
200,圖片,"túpiàn ",picture,教育,Education,(N),1,图片,0.00856028
201,畫/畫兒,huà/huàr,painting/painting,教育,Education,(N),1,画/画儿,
202,畫,huà,painting,教育,Education,(VA),1,画,0.00931893
203,意思,"yìsi ",mean,教育,Education,(N),1,意思,0.0075136
204,記得,"jìdé ",Remember,教育,Education,(VS),1,记得,0.0114916
205,一些,"yīxiē ",some,教育,Education,(Det),1,一些,0.0615178
206,一點/一點兒,"yīdiǎn/yīdiǎnr ",a little bit,教育,Education,(Det),1,一点/一点儿,
207,房子,"fángzi ",house,房屋與家庭、環境,Family & Home,(N),1,房子,0.00811802
208,房間,"fángjiān ",Room,房屋與家庭、環境,Family & Home,(N),1,房间,0.00563231
209,廚房,"chúfáng ",kitchen,房屋與家庭、環境,Family & Home,(N),1,厨房,0.00251976
210,客廳,"kètīng ",living room,房屋與家庭、環境,Family & Home,(N),1,客厅,0.00156207
211,門,"mén ",Door,房屋與家庭、環境,Family & Home,(N),1,门,0.025169
212,窗/窗戶,"chuānghù ",window/window,房屋與家庭、環境,Family & Home,(N),1,窗/窗户,
213,樓,"lóu ",building,房屋與家庭、環境,Family & Home,(M),1,楼,0.0189211
214,樓上,"lóushàng ",upstairs,房屋與家庭、環境,Family & Home,(N),1,楼上,0.00111961
215,樓下,"lóuxià ",downstairs,房屋與家庭、環境,Family & Home,(N),1,楼下,0.00191923
216,電梯,"diàntī ",elevator,房屋與家庭、環境,Family & Home,(N),1,电梯,0.00197118
217,家具,"jiājù ",furniture,房屋與家庭、環境,Family & Home,(N),1,家具,0.00303175
218,椅子,"yǐzi ",Chair,房屋與家庭、環境,Family & Home,(N),1,椅子,0.0014253
219,桌(子),"zhuō(zi) ",table),房屋與家庭、環境,Family & Home,(N),1,桌(子),
220,沙發,"shāfā ",sofa,房屋與家庭、環境,Family & Home,(N),1,沙发,0.00214207
221,床,"chuáng ",bed,房屋與家庭、環境,Family & Home,(N),1,床,0.00933127
222,開,"kāi ",open,房屋與家庭、環境,Family & Home,(VA),1,开,0.0422797
223,關,"guān ",close,房屋與家庭、環境,Family & Home,(VA),1,关,0.0077731
224,電視(機),"diànshì(jī) ",TV set),房屋與家庭、環境,Family & Home,(N),1,电视(机),
225,冷氣(機),"lěngqì(jī) ",air conditioner,房屋與家庭、環境,Family & Home,(N),1,冷气(机),
226,洗澡,"xǐzǎo ",bath,房屋與家庭、環境,Family & Home,(VA),1,洗澡,0.00250611
227,安靜,"ānjìng ",Quiet,房屋與家庭、環境,Family & Home,(VS),1,安静,0.00293526
228,不錯,"bùcuò ",good,房屋與家庭、環境,Family & Home,(VS),1,不错,0.0221435
229,河,"hé ",river,房屋與家庭、環境,Family & Home,(N),1,河,0.00549481
230,海,"hǎi ",ocean,房屋與家庭、環境,Family & Home,(N),1,海,0.0200325
231,海邊,"hǎibiān ",seaside,房屋與家庭、環境,Family & Home,(N),1,海边,0.000817716
232,湖,"hú ",lake,房屋與家庭、環境,Family & Home,(N),1,湖,0.00597403
233,山,"shān ",Mountain,房屋與家庭、環境,Family & Home,(N),1,山,0.0162508
234,樹,"shù ",Tree,房屋與家庭、環境,Family & Home,(N),1,树,0.00813333
235,花/花兒,huā/huār,flower/flower,房屋與家庭、環境,Family & Home,(N),1,花/花儿,
236,馬,"mǎ ",horse,房屋與家庭、環境,Family & Home,(N),1,马,0.0171683
237,狗,"gǒu ",dog,房屋與家庭、環境,Family & Home,(N),1,狗,0.0136411
238,鳥,niǎo,bird,房屋與家庭、環境,Family & Home,(N),1,鸟,0.00700228
239,貓,"māo ",cat,房屋與家庭、環境,Family & Home,(N),1,猫,0.00928724
240,雞,"jī ",chicken,房屋與家庭、環境,Family & Home,(N),1,鸡,0.00781099
241,魚/魚兒,"yú/yúr ",fish/fish,房屋與家庭、環境,Family & Home,(N),1,鱼/鱼儿,
242,太陽,"tàiyáng ",sun,房屋與家庭、環境,Family & Home,(N),1,太阳,0.00593415
243,水,"shuǐ ",water,房屋與家庭、環境,Family & Home,(N),1,水,0.0433006
244,天氣,"tiānqì ",weather,房屋與家庭、環境,Family & Home,(N),1,天气,0.00985493
245,冷,"lěng ",cold,房屋與家庭、環境,Family & Home,(VS),1,冷,0.0154794
246,熱,"rè ",hot,房屋與家庭、環境,Family & Home,(VS),1,热,0.0146059
247,下雨,"xiàyǔ ",rain,房屋與家庭、環境,Family & Home,(VA),1,下雨,0.00232874
248,下雪,"xiàxuě ",snow,房屋與家庭、環境,Family & Home,(VA),1,下雪,0.00166227
249,風,"fēng ",wind,房屋與家庭、環境,Family & Home,(N),1,风,0.0159334
250,穿,"chuān ",wear,日常生活,Daily Life,(VA),1,穿,0.0206313
251,睡覺,"shuìjiào ",sleep,日常生活,Daily Life,(VA),1,睡觉,0.0117001
252,起床,"qǐchuáng ",get up,日常生活,Daily Life,(VA),1,起床,0.00516046
253,咖啡,"kāfēi ",coffee,日常生活,Daily Life,(N),1,咖啡,0.00471067
254,茶,"chá ",Tea,日常生活,Daily Life,(N),1,茶,0.00735246
255,洗,"xǐ ",wash,日常生活,Daily Life,(VA),1,洗,0.0077458
256,方便,"fāngbiàn ",convenient,日常生活,Daily Life,(VS),1,方便,0.00842494
257,生活,"shēnghuó ",Life,日常生活,Daily Life,(N),1,生活,0.0553872
258,用,"yòng ",use,日常生活,Daily Life,(VA),1,用,0.108943
259,新年,"xīnnián ",new year,日常生活,Daily Life,(N),1,新年,0.00647979
260,開始,"kāishǐ ",start,閒暇時間、娛樂,Leisure & Entertainment,(VS),1,开始,0.0703419
261,運動,"yùndòng ",sports,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,运动,0.0153546
262,"運動 ","yùndòng ",sports,閒暇時間、娛樂,Leisure & Entertainment,(N),1,"运动 ",
263,游泳,"yóuyǒng ",swim,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,游泳,0.00233945
264,踢,"tī ",Kick,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,踢,0.00358793
265,足球,"zúqiú ",football,閒暇時間、娛樂,Leisure & Entertainment,(N),1,足球,0.00816833
266,打,"dǎ ",beat,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,打,0.0538625
267,籃球,"lánqiú ",basketball,閒暇時間、娛樂,Leisure & Entertainment,(N),1,篮球,0.00278507
268,網球,"wǎngqiú ",tennis,閒暇時間、娛樂,Leisure & Entertainment,(N),1,网球,0.00186833
269,棒球,"bàngqiú ",baseball,閒暇時間、娛樂,Leisure & Entertainment,(N),1,棒球,0.000369426
270,比賽,"bǐsài ",Contest,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,比赛,0.0440932
271,"比賽 ","bǐsài ",Contest,閒暇時間、娛樂,Leisure & Entertainment,(N),1,"比赛 ",
272,騎,"qí ",ride,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,骑,0.00474922
273,腳踏車/自行車,"jiǎotàchē/zìxíngchē ",Bicycle/bicycle,閒暇時間、娛樂,Leisure & Entertainment,(N),1,脚踏车/自行车,
274,跑,"pǎo ",run,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,跑,0.015535
275,跑步,"pǎobù ",running,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,跑步,0.000935125
276,走,"zǒu ",Walk,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,走,0.058025
277,走路,"zǒulù ",walk,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,走路,0.00167215
278,電影,"diànyǐng ",Movie,閒暇時間、娛樂,Leisure & Entertainment,(N),1,电影,0.019596
279,電影院,"diànyǐngyuàn ",Cinema,閒暇時間、娛樂,Leisure & Entertainment,(N),1,电影院,0.000958754
280,票,"piào ",ticket,閒暇時間、娛樂,Leisure & Entertainment,(N),1,票,0.0120981
281,音樂,"yīnyuè ",music,閒暇時間、娛樂,Leisure & Entertainment,(N),1,音乐,0.0157126
282,表演,"biǎoyǎn ",Performance,閒暇時間、娛樂,Leisure & Entertainment,(N),1,表演,0.00755173
284,上網,"shàngwǎng ",Internet access,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,上网,0.00467456
285,以前,"yǐqián ",before,閒暇時間、娛樂,Leisure & Entertainment,(N),1,以前,0.0163373
286,以後,"yǐhòu ",after,閒暇時間、娛樂,Leisure & Entertainment,(N),1,以后,0.0271369
287,等,"děng ",wait,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,等,0.192594
288,輸,"shū ",lose,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,输,0.00714262
289,贏,"yíng ",win,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,赢,0.00886347
290,有時候,"yǒushíhòu ",sometimes,閒暇時間、娛樂,Leisure & Entertainment,(Adv),1,有时候,0.00561392
291,常常,"chángcháng ",Frequent,閒暇時間、娛樂,Leisure & Entertainment,(Adv),1,常常,0.00487228
292,久,"jiǔ ",Long,閒暇時間、娛樂,Leisure & Entertainment,(VS),1,久,0.00769325
293,先,"xiān ",First,閒暇時間、娛樂,Leisure & Entertainment,(Adv),1,先,0.0293538
294,再,"zài ",again,閒暇時間、娛樂,Leisure & Entertainment,(Adv),1,再,0.0817868
295,每,"měi ",Every,閒暇時間、娛樂,Leisure & Entertainment,(Det),1,每,0.031359
296,次,"cì ",time; occurrence,閒暇時間、娛樂,Leisure & Entertainment,(M),1,次,0.0930387
297,報紙,"bàozhǐ ",newspaper,閒暇時間、娛樂,Leisure & Entertainment,(N),1,报纸,0.00440404
298,照片,"zhàopiàn ",photo,閒暇時間、娛樂,Leisure & Entertainment,(N),1,照片,0.0114806
299,書,"shū ",Book,閒暇時間、娛樂,Leisure & Entertainment,(N),1,书,0.0189656
300,唱歌/唱歌兒,"chànggē/chànggēr ",sing/sing,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,唱歌/唱歌儿,
301,玩/玩兒,"wán/wánr ",play/play,閒暇時間、娛樂,Leisure & Entertainment,(VA),1,玩/玩儿,
302,朋友,"péngyǒu ",friend,與他人的關係,Relationships,(N),1,朋友,0.0283166
303,介紹,"jièshào ",introduce,與他人的關係,Relationships,(VA),1,介绍,0.0270893
304,認識,"rènshi ",know,與他人的關係,Relationships,(VS),1,认识,0.0186007
305,謝謝,xièxie,Thanks,與他人的關係,Relationships,(VS),1,谢谢,0.0134282
306,不客氣,"bùkèqì ",You're welcome,與他人的關係,Relationships,,1,不客气,0.000379517
307,對不起,"duìbuqǐ ",sorry,與他人的關係,Relationships,,1,对不起,0.00425012
308,沒關係(ㄒㄧ˙),"méiguānxi ",It doesn't matter (ㄒㄧ˙),與他人的關係,Relationships,(VS),1,没关系(ㄒㄧ˙),
309,再見,"zàijiàn ",goodbye,與他人的關係,Relationships,(VA),1,再见,0.00242894
310,請問,"qǐngwèn ",Excuse me,與他人的關係,Relationships,,1,请问,0.00222331
311,怎麼樣,"zěnmeyàng ",How about it,與他人的關係,Relationships,,1,怎么样,0.00492696
312,禮物,"lǐwù ",Gift,與他人的關係,Relationships,(N),1,礼物,0.00488006
313,歡迎,"huānyíng ",welcome,與他人的關係,Relationships,(VS),1,欢迎,0.010972
314,晚會,"wǎnhuì ",party,與他人的關係,Relationships,(N),1,晚会,0.00295382
315,做,"zuò ",do,與他人的關係,Relationships,(VA),1,做,0.12478
316,信,"xìn ",letter,與他人的關係,Relationships,(N),1,信,0.028605
317,信封,"xìnfēng ",envelope,與他人的關係,Relationships,(N),1,信封,0.000441905
318,寄,"jì ",send,與他人的關係,Relationships,(VA),1,寄,0.00274513
319,接,"jiē ",catch,與他人的關係,Relationships,(VA),1,接,0.0230264
320,郵局,"yóujú ",post office,與他人的關係,Relationships,(N),1,邮局,0.000457079
321,銀行,"yínháng ",bank,與他人的關係,Relationships,(N),1,银行,0.0226712
322,警察,"jǐngchá ",police,與他人的關係,Relationships,(N),1,警察,0.00672064
323,壞,"huài ",bad,與他人的關係,Relationships,(VS),1,坏,0.00636011
324,幫忙,"bāngmáng ",help,與他人的關係,Relationships,(VA),1,帮忙,0.00395738
325,換,"huàn ",Change,與他人的關係,Relationships,(VA),1,换,0.0170553
326,東西,"dōngxi ",thing,與他人的關係,Relationships,(N),1,东西,0.0309471
